question_id,L_qtok,L_lines,L_kw,L_ids,S_nest,S_cf,T_class,T_type,O_var,O_sim,H_N,H_D,H_W,H_amb,H_B,H_M,H_P,H_Dmax,H_Dmean,d_ptr,d_ref,d_arrow,d_scope,d_incr,d_assign,oop_nclass,oop_dinherit,oop_rcount,mem_stack,mem_heap,mem_static,mem_global,spc_compile,spc_runtime,spc_another
31,10,7,0.42857142857142855,1,1,0.0,0,1,18.96,0.0,5.667,4.0,6.8,0.025,4.0,2.0,1.3,5.0,2.778,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0,0,0,1,0,0,0,1,1,1
32,15,10,0.4090909090909091,5,1,0.0,0,1,11.76,0.0,6.0,3.0,6.533,0.0108,3.0,2.0,1.4,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.13636363636363635,0,0,0,1,0,0,0,0,0,1
33,10,15,0.35714285714285715,4,1,0.0,0,1,23.04,0.3333333333333333,10.0,3.0,11.2,0.0875,4.0,3.0,2.1,4.0,3.333,0.0,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0,0,0,1,0,0,0,0,0,1
34,10,17,0.19444444444444445,10,1,0.0,0,3,28.666666666666668,0.48888888888888893,7.0,4.0,8.0,0.011,4.0,2.0,1.4,5.0,3.286,0.0,0.08333333333333333,0.0,0.0,0.08333333333333333,0.25,0,0,0,1,0,0,0,1,1,1
35,10,18,0.1891891891891892,9,1,0.0,0,3,26.244897959183675,0.27777777777777773,10.667,4.0,12.5,0.0196,4.0,2.0,1.8,4.0,3.0,0.0,0.05405405405405406,0.0,0.0,0.10810810810810811,0.24324324324324326,0,0,0,1,0,0,0,1,1,1
36,10,13,0.3235294117647059,5,1,0.0,0,1,67.6875,0.3333333333333333,10.667,3.0,11.067,0.0531,3.0,2.0,1.3,3.0,2.286,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0,0,0,1,0,0,0,0,0,0
37,10,8,0.3,4,1,0.0,0,1,34.53061224489796,0.19444444444444442,4.667,3.0,5.0,0.1412,3.0,1.0,0.8,5.0,3.182,0.0,0.0,0.0,0.0,0.0,0.2,0,0,0,1,0,0,0,1,1,1
38,10,7,0.45454545454545453,1,1,0.0,0,1,27.76,0.5,5.333,3.0,6.333,0.6032,4.0,2.0,1.1,5.0,3.667,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0,0,0,1,0,0,0,0,1,0
39,10,8,0.35,3,1,0.0,0,1,18.16,0.0,5.333,3.333,5.967,0.0264,4.0,1.0,0.8,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.1,0,0,0,1,0,0,0,0,0,1
40,10,7,0.4166666666666667,1,1,0.0,0,1,64.0,0.0,5.667,3.333,6.3,0.1372,4.0,2.0,1.1,5.0,2.8,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0,0,0,1,0,0,0,0,0,0
41,10,7,0.4166666666666667,1,1,0.0,0,1,75.0,0.0,5.667,3.0,6.133,0.1666,4.0,2.0,1.1,5.0,3.286,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0,0,0,1,0,0,0,0,0,0
42,10,7,0.4166666666666667,1,1,0.0,0,1,25.76,0.0,4.667,3.0,5.867,0.3621,3.0,2.0,1.3,5.0,3.667,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0,0,0,1,0,0,0,1,1,1
43,10,8,0.4117647058823529,4,1,0.0,0,1,23.44,0.0,7.333,4.0,8.2,0.0539,4.0,2.0,1.8,4.0,2.714,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0,0,0,1,0,0,0,1,1,1
44,11,7,0.46153846153846156,2,1,0.0,0,1,31.6875,0.0,4.333,2.0,5.033,0.0281,2.0,2.0,1.8,4.0,2.5,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0,0,0,1,0,1,0,0,0,1
45,11,8,0.4,3,1,0.0,0,1,31.6875,0.0,4.667,3.0,5.3,0.032,3.0,1.0,0.8,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0,0,0,1,0,0,0,0,0,1
46,10,8,0.375,3,1,0.0,0,1,23.04,0.3333333333333333,6.333,4.0,7.4,0.0175,4.0,2.0,1.6,5.0,3.111,0.0,0.0,0.0,0.0,0.0625,0.0625,0,0,0,1,0,0,0,0,0,1
47,10,8,0.375,3,1,0.0,0,1,24.25,0.0,4.0,3.0,4.7,0.0,4.0,2.0,1.4,5.0,2.667,0.0,0.0,0.0,0.0,0.0,0.1875,0,0,0,1,0,0,0,1,1,1
48,10,14,0.3333333333333333,4,1,0.0,0,2,28.6875,0.0,5.333,3.0,6.033,0.0234,4.0,2.0,1.8,4.0,2.571,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0,0,0,1,0,0,0,0,0,1
49,10,12,0.3125,4,1,0.0,0,2,22.6875,0.3333333333333333,5.333,2.0,5.833,0.0242,2.0,2.0,1.3,4.0,3.333,0.0,0.0,0.0,0.0,0.0,0.0625,0,0,0,1,0,0,0,0,0,1
50,10,12,0.3125,4,1,0.0,0,2,25.76,0.6666666666666666,5.0,2.0,5.633,0.1217,2.0,2.0,0.9,4.0,3.143,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1,1,1
51,10,14,0.23333333333333334,14,2,1.5,0,2,5.04,0.8092190443239918,5.0,3.0,5.867,0.0121,3.0,2.0,1.5,4.0,2.667,0.0,0.0,0.0,0.0,0.03333333333333333,0.06666666666666667,0,0,0,1,0,0,0,0,0,1
52,10,16,0.3333333333333333,3,2,0.0,0,1,2.816326530612245,0.8666666666666667,11.333,3.0,12.1,0.0318,3.0,2.0,1.5,4.0,3.286,0.0,0.0,0.0,0.0,0.0,0.20833333333333334,0,0,0,1,0,0,1,1,1,1
53,10,14,0.3888888888888889,2,1,0.0,0,1,19.36,0.38888888888888884,8.0,2.667,8.833,0.1601,3.0,2.0,1.3,5.0,3.111,0.0,0.0,0.0,0.0,0.05555555555555555,0.05555555555555555,0,0,0,1,0,1,1,0,0,1
54,10,11,0.47619047619047616,2,1,3.5,0,1,19.36,0.3763955342902711,6.0,3.333,6.867,0.0103,4.0,2.0,1.1,4.0,2.2,0.0,0.0,0.0,0.0,0.047619047619047616,0.09523809523809523,0,0,0,1,0,0,0,1,1,0
55,10,13,0.4090909090909091,3,1,0.0,0,1,30.96,0.5,7.333,3.0,8.033,0.0176,3.0,2.0,1.6,4.0,3.167,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0,0,0,1,0,0,1,1,1,1
56,10,13,0.3,4,1,3.0,0,2,15.36,0.36574074074074076,11.333,3.0,17.567,0.1024,3.0,1.0,0.5,5.0,2.556,0.0,0.0,0.0,0.0,0.06666666666666667,0.23333333333333334,0,0,0,1,0,0,1,0,0,1
57,10,10,0.38095238095238093,3,2,1.5,0,2,27.0,0.5,5.333,3.667,6.067,0.2642,4.0,2.0,1.1,5.0,3.2,0.0,0.0,0.0,0.0,0.047619047619047616,0.19047619047619047,0,0,0,1,0,0,0,0,0,1
58,10,8,0.42857142857142855,2,1,0.0,0,2,28.4,0.0,5.667,3.0,6.067,0.0375,3.0,2.0,1.4,5.0,3.167,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0,0,0,1,0,0,0,1,1,1
59,10,7,0.45454545454545453,1,2,0.0,0,2,25.76,0.3333333333333333,6.0,3.0,6.867,0.0054,4.0,2.0,1.1,5.0,2.75,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0,0,0,1,0,0,0,1,1,1
60,10,7,0.38461538461538464,1,2,0.0,0,2,13.555555555555555,0.3333333333333333,10.667,3.667,11.333,0.0803,4.0,2.0,1.1,5.0,3.667,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0,0,0,1,0,0,0,1,1,1
61,10,7,0.5,1,1,0.0,0,1,36.64,0.0,4.667,3.0,5.433,0.029,4.0,2.0,1.4,4.0,2.333,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0,0,0,1,0,0,0,1,1,1
62,10,9,0.29411764705882354,4,1,0.0,0,3,17.44,0.0,6.0,3.0,7.167,0.611,3.0,2.0,1.1,5.0,2.455,0.058823529411764705,0.0,0.0,0.0,0.0,0.11764705882352941,0,0,0,1,0,0,0,1,1,0
63,10,15,0.3125,4,1,0.0,0,3,16.0,0.6666666666666666,8.667,3.0,9.3,0.0139,3.0,2.0,1.4,5.0,3.222,0.0,0.0625,0.0,0.0,0.0,0.15625,0,0,0,1,0,0,1,0,0,1
